name,latitude,longitude,scientificName,publishingCountry,stateProvince,year,month,day,eventDate,individualCount
Asclepias speciosa Torr.,38.924461,-104.816833,Asclepias speciosa Torr.,FR,NA,2020,7,5,2020-07-05,1
Asclepias speciosa Torr.,39.515896,-118.759571,Asclepias speciosa Torr.,FR,NA,2020,7,19,2020-07-19,1
Asclepias speciosa Torr.,46.548858,-120.411343,Asclepias speciosa Torr.,FR,NA,2020,7,16,2020-07-16,1
Asclepias speciosa Torr.,45.543561,-122.651275,Asclepias speciosa Torr.,FR,NA,2020,7,7,2020-07-07,1
Asclepias speciosa Torr.,38.819621,-104.732811,Asclepias speciosa Torr.,FR,NA,2020,7,6,2020-07-06,1
Asclepias speciosa Torr.,49.816615,-112.093242,Asclepias speciosa Torr.,FR,NA,2020,7,16,2020-07-16,1
Asclepias speciosa Torr.,39.990456,-105.149017,Asclepias speciosa Torr.,FR,NA,2020,7,19,2020-07-19,1
Asclepias speciosa Torr.,48.229549,-116.563654,Asclepias speciosa Torr.,FR,NA,2020,7,28,2020-07-28,1
Asclepias speciosa Torr.,39.623535,-104.836525,Asclepias speciosa Torr.,FR,NA,2020,7,1,2020-07-01,1
Asclepias speciosa Torr.,40.828048,-111.655004,Asclepias speciosa Torr.,FR,NA,2020,7,2,2020-07-02,1
Asclepias speciosa Torr.,40.24832,-105.218049,Asclepias speciosa Torr.,FR,NA,2020,7,10,2020-07-10,1
Asclepias speciosa Torr.,49.887394,-119.42749,Asclepias speciosa Torr.,FR,NA,2020,7,5,2020-07-05,1
Asclepias speciosa Torr.,39.933152,-104.888741,Asclepias speciosa Torr.,FR,NA,2020,7,17,2020-07-17,1
Asclepias speciosa Torr.,40.527173,-105.098822,Asclepias speciosa Torr.,FR,NA,2020,7,2,2020-07-02,1
Asclepias speciosa Torr.,46.561291,-107.885639,Asclepias speciosa Torr.,FR,NA,2020,7,2,2020-07-02,1
Asclepias speciosa Torr.,40.366458,-105.561059,Asclepias speciosa Torr.,FR,NA,2020,7,12,2020-07-12,1
Asclepias speciosa Torr.,39.467135,-104.886886,Asclepias speciosa Torr.,FR,NA,2020,7,6,2020-07-06,1
Asclepias speciosa Torr.,41.963801,-111.399445,Asclepias speciosa Torr.,FR,NA,2020,7,22,2020-07-22,1
Asclepias speciosa Torr.,40.606767,-111.859877,Asclepias speciosa Torr.,FR,NA,2020,7,18,2020-07-18,1
Asclepias speciosa Torr.,39.805598,-105.258872,Asclepias speciosa Torr.,FR,NA,2020,7,3,2020-07-03,1
Asclepias speciosa Torr.,39.613535,-104.88128,Asclepias speciosa Torr.,FR,NA,2020,7,4,2020-07-04,1
Asclepias speciosa Torr.,43.013994,-108.774612,Asclepias speciosa Torr.,FR,NA,2020,7,28,2020-07-28,1
Asclepias speciosa Torr.,39.742916,-105.445459,Asclepias speciosa Torr.,FR,NA,2020,7,8,2020-07-08,1
Asclepias speciosa Torr.,50.137445,-120.736858,Asclepias speciosa Torr.,FR,NA,2020,7,8,2020-07-08,1
Asclepias speciosa Torr.,50.694167,-120.370278,Asclepias speciosa Torr.,FR,NA,2020,7,13,2020-07-13,1
Asclepias speciosa Torr.,44.463601,-108.455759,Asclepias speciosa Torr.,FR,NA,2020,7,27,2020-07-27,1
Asclepias speciosa Torr.,50.311323,-119.229707,Asclepias speciosa Torr.,FR,NA,2020,7,15,2020-07-15,1
Asclepias speciosa Torr.,49.814017,-112.926292,Asclepias speciosa Torr.,FR,NA,2020,7,17,2020-07-17,1
Asclepias speciosa Torr.,39.928867,-105.009666,Asclepias speciosa Torr.,FR,NA,2020,7,8,2020-07-08,1
Asclepias speciosa Torr.,43.314908,-123.294966,Asclepias speciosa Torr.,FR,NA,2020,7,9,2020-07-09,1
Asclepias speciosa Torr.,39.614112,-104.926214,Asclepias speciosa Torr.,FR,NA,2020,7,3,2020-07-03,1
Asclepias speciosa Torr.,49.70332,-112.868956,Asclepias speciosa Torr.,FR,NA,2020,7,15,2020-07-15,1
Asclepias speciosa Torr.,46.704904,-117.129591,Asclepias speciosa Torr.,FR,NA,2020,7,17,2020-07-17,1
Asclepias speciosa Torr.,50.22925,-119.111271,Asclepias speciosa Torr.,FR,NA,2020,7,2,2020-07-02,1
Asclepias speciosa Torr.,40.828048,-111.655004,Asclepias speciosa Torr.,FR,NA,2020,7,1,2020-07-01,1
Asclepias speciosa Torr.,43.51719,-112.083686,Asclepias speciosa Torr.,FR,NA,2020,7,1,2020-07-01,1
Asclepias speciosa Torr.,50.023834,-110.684738,Asclepias speciosa Torr.,FR,NA,2020,7,12,2020-07-12,1
Asclepias speciosa Torr.,40.390045,-105.562906,Asclepias speciosa Torr.,FR,NA,2020,7,14,2020-07-14,1
Asclepias speciosa Torr.,39.627815,-104.839901,Asclepias speciosa Torr.,FR,NA,2020,7,14,2020-07-14,1
Asclepias speciosa Torr.,47.677516,-117.340169,Asclepias speciosa Torr.,FR,NA,2020,7,2,2020-07-02,1
Asclepias speciosa Torr.,40.539847,-105.080392,Asclepias speciosa Torr.,FR,NA,2020,7,7,2020-07-07,1
Asclepias speciosa Torr.,37.744031,-119.592945,Asclepias speciosa Torr.,FR,NA,2020,7,11,2020-07-11,1
Asclepias speciosa Torr.,46.561291,-107.885639,Asclepias speciosa Torr.,FR,NA,2020,7,2,2020-07-02,1
Asclepias speciosa Torr.,50.023099,-110.693079,Asclepias speciosa Torr.,FR,NA,2020,7,20,2020-07-20,1
Asclepias speciosa Torr.,44.083676,-121.259388,Asclepias speciosa Torr.,FR,NA,2020,7,11,2020-07-11,1
Asclepias speciosa Torr.,50.694167,-120.370278,Asclepias speciosa Torr.,FR,NA,2020,7,13,2020-07-13,1
Asclepias speciosa Torr.,42.088516,-124.199723,Asclepias speciosa Torr.,FR,NA,2020,7,8,2020-07-08,1
Asclepias speciosa Torr.,43.640868,-116.696951,Asclepias speciosa Torr.,FR,NA,2020,7,9,2020-07-09,1
Asclepias speciosa Torr.,44.051973,-121.321434,Asclepias speciosa Torr.,FR,NA,2020,7,11,2020-07-11,1
Asclepias speciosa Torr.,41.130893,-104.907714,Asclepias speciosa Torr.,FR,NA,2020,7,2,2020-07-02,1
Asclepias speciosa Torr.,45.391261,-109.114728,Asclepias speciosa Torr.,FR,NA,2020,7,3,2020-07-03,1
Asclepias speciosa Torr.,49.890301,-110.664409,Asclepias speciosa Torr.,FR,NA,2020,7,2,2020-07-02,1
Asclepias speciosa Torr.,39.42921,-105.063223,Asclepias speciosa Torr.,FR,NA,2020,7,19,2020-07-19,1
Asclepias speciosa Torr.,39.462137,-105.088467,Asclepias speciosa Torr.,FR,NA,2020,7,15,2020-07-15,1
Asclepias speciosa Torr.,45.438608,-122.702593,Asclepias speciosa Torr.,FR,NA,2020,7,7,2020-07-07,1
Asclepias speciosa Torr.,49.878733,-119.424982,Asclepias speciosa Torr.,FR,NA,2020,7,9,2020-07-09,1
Asclepias speciosa Torr.,47.636733,-117.373104,Asclepias speciosa Torr.,FR,NA,2020,7,10,2020-07-10,1
Asclepias speciosa Torr.,49.875056,-99.939535,Asclepias speciosa Torr.,FR,NA,2020,7,27,2020-07-27,1
Asclepias speciosa Torr.,51.046334,-114.011074,Asclepias speciosa Torr.,FR,NA,2020,7,15,2020-07-15,1
Asclepias speciosa Torr.,40.58926,-111.832344,Asclepias speciosa Torr.,FR,NA,2020,7,30,2020-07-30,1
Asclepias speciosa Torr.,44.764256,-117.168133,Asclepias speciosa Torr.,FR,NA,2020,7,5,2020-07-05,1
Asclepias speciosa Torr.,46.839212,-114.057699,Asclepias speciosa Torr.,FR,NA,2020,7,15,2020-07-15,1
Asclepias speciosa Torr.,40.58371,-105.104308,Asclepias speciosa Torr.,FR,NA,2020,7,6,2020-07-06,1
Asclepias speciosa Torr.,47.528028,-111.239175,Asclepias speciosa Torr.,FR,NA,2020,7,12,2020-07-12,1
Asclepias speciosa Torr.,50.232701,-112.844828,Asclepias speciosa Torr.,FR,NA,2020,7,12,2020-07-12,1
Asclepias speciosa Torr.,48.493881,-120.163456,Asclepias speciosa Torr.,FR,NA,2020,7,14,2020-07-14,1
Asclepias speciosa Torr.,46.268916,-114.15392,Asclepias speciosa Torr.,FR,NA,2020,7,10,2020-07-10,1
Asclepias speciosa Torr.,43.995087,-103.330956,Asclepias speciosa Torr.,FR,NA,2020,7,13,2020-07-13,1
Asclepias speciosa Torr.,47.198193,-102.707485,Asclepias speciosa Torr.,FR,NA,2020,7,23,2020-07-23,1
Asclepias speciosa Torr.,50.443393,-119.205829,Asclepias speciosa Torr.,FR,NA,2020,7,13,2020-07-13,1
Asclepias speciosa Torr.,39.856497,-105.134663,Asclepias speciosa Torr.,FR,NA,2020,7,15,2020-07-15,1
Asclepias speciosa Torr.,39.973433,-105.270914,Asclepias speciosa Torr.,FR,NA,2020,7,7,2020-07-07,1
Asclepias speciosa Torr.,40.125833,-105.295078,Asclepias speciosa Torr.,FR,NA,2020,7,4,2020-07-04,1
Asclepias speciosa Torr.,40.796231,-111.710867,Asclepias speciosa Torr.,FR,NA,2020,7,27,2020-07-27,1
Asclepias speciosa Torr.,42.997222,-120.749444,Asclepias speciosa Torr.,FR,NA,2020,7,14,2020-07-14,1
Asclepias speciosa Torr.,49.999619,-110.624237,Asclepias speciosa Torr.,FR,NA,2020,7,11,2020-07-11,1
Asclepias speciosa Torr.,46.548947,-120.411326,Asclepias speciosa Torr.,FR,NA,2020,7,16,2020-07-16,1
Asclepias speciosa Torr.,40.688802,-105.006795,Asclepias speciosa Torr.,FR,NA,2020,7,11,2020-07-11,1
Asclepias speciosa Torr.,39.698869,-105.192176,Asclepias speciosa Torr.,FR,NA,2020,7,5,2020-07-05,1
Asclepias speciosa Torr.,45.492486,-122.865254,Asclepias speciosa Torr.,FR,NA,2020,7,21,2020-07-21,1
Asclepias speciosa Torr.,39.896256,-105.020778,Asclepias speciosa Torr.,FR,NA,2020,7,1,2020-07-01,1
Asclepias speciosa Torr.,39.933285,-104.889307,Asclepias speciosa Torr.,FR,NA,2020,7,1,2020-07-01,1
Asclepias speciosa Torr.,41.524086,-111.181349,Asclepias speciosa Torr.,FR,NA,2020,7,31,2020-07-31,1
Asclepias speciosa Torr.,41.714886,-112.209938,Asclepias speciosa Torr.,FR,NA,2020,7,12,2020-07-12,1
Asclepias speciosa Torr.,50.694167,-120.370278,Asclepias speciosa Torr.,FR,NA,2020,7,13,2020-07-13,1
Asclepias speciosa Torr.,46.173339,-119.162639,Asclepias speciosa Torr.,FR,NA,2020,7,20,2020-07-20,1
Asclepias speciosa Torr.,44.463601,-108.455759,Asclepias speciosa Torr.,FR,NA,2020,7,27,2020-07-27,1
Asclepias speciosa Torr.,37.543026,-119.648434,Asclepias speciosa Torr.,FR,NA,2020,7,21,2020-07-21,1
Asclepias speciosa Torr.,49.875056,-99.939535,Asclepias speciosa Torr.,FR,NA,2020,7,27,2020-07-27,1
Asclepias speciosa Torr.,49.884109,-119.474945,Asclepias speciosa Torr.,FR,NA,2020,8,2,2020-08-02,1
Asclepias speciosa Torr.,43.843346,-104.179365,Asclepias speciosa Torr.,FR,NA,2020,8,12,2020-08-12,1
Asclepias speciosa Torr.,42.367111,-83.335142,Asclepias speciosa Torr.,FR,NA,2020,8,5,2020-08-05,1
Asclepias speciosa Torr.,45.746799,-94.194137,Asclepias speciosa Torr.,FR,NA,2020,8,8,2020-08-08,1
Asclepias speciosa Torr.,40.855572,-111.603991,Asclepias speciosa Torr.,FR,NA,2020,8,1,2020-08-01,1
Asclepias speciosa Torr.,47.114085,-104.735884,Asclepias speciosa Torr.,FR,NA,2020,8,2,2020-08-02,1
Asclepias speciosa Torr.,48.494831,-115.911501,Asclepias speciosa Torr.,FR,NA,2020,8,22,2020-08-22,1
Asclepias speciosa Torr.,40.855572,-111.603991,Asclepias speciosa Torr.,FR,NA,2020,8,1,2020-08-01,1
Asclepias speciosa Torr.,39.814557,-105.183344,Asclepias speciosa Torr.,FR,NA,2020,8,6,2020-08-06,1
Asclepias speciosa Torr.,49.821629,-97.135754,Asclepias speciosa Torr.,FR,NA,2020,9,3,2020-09-03,1
Asclepias speciosa Torr.,49.689722,-112.851667,Asclepias speciosa Torr.,FR,NA,2020,9,25,2020-09-25,1
Asclepias speciosa Torr.,37.712968,-97.406537,Asclepias speciosa Torr.,FR,NA,2019,5,30,2019-05-30,1
Asclepias speciosa Torr.,46.229491,-119.232588,Asclepias speciosa Torr.,FR,NA,2019,5,29,2019-05-29,1
Asclepias speciosa Torr.,40.668679,-98.888713,Asclepias speciosa Torr.,FR,NA,2019,6,19,2019-06-19,1
Asclepias speciosa Torr.,40.441069,-104.759216,Asclepias speciosa Torr.,FR,NA,2019,6,25,2019-06-25,1
Asclepias speciosa Torr.,43.1904,-89.187556,Asclepias speciosa Torr.,FR,NA,2019,6,29,2019-06-29,1
Asclepias speciosa Torr.,41.110398000000004,-121.456795,Asclepias speciosa Torr.,FR,NA,2019,6,24,2019-06-24,1
Asclepias speciosa Torr.,47.67,-120.215556,Asclepias speciosa Torr.,FR,NA,2019,6,26,2019-06-26,1
Asclepias speciosa Torr.,42.137224,-88.009647,Asclepias speciosa Torr.,FR,NA,2019,6,14,2019-06-14,1
Asclepias speciosa Torr.,43.630144,-116.310158,Asclepias speciosa Torr.,FR,NA,2019,6,14,2019-06-14,1
Asclepias speciosa Torr.,45.927755,-119.296201,Asclepias speciosa Torr.,FR,NA,2019,6,11,2019-06-11,1
Asclepias speciosa Torr.,49.31414,-119.546028,Asclepias speciosa Torr.,FR,NA,2019,6,11,2019-06-11,1
Asclepias speciosa Torr.,49.575195,-119.669661,Asclepias speciosa Torr.,FR,NA,2019,6,9,2019-06-09,1
Asclepias speciosa Torr.,50.756791,-120.864433,Asclepias speciosa Torr.,FR,NA,2019,6,10,2019-06-10,1
Asclepias speciosa Torr.,39.552652,-119.746351,Asclepias speciosa Torr.,FR,NA,2019,6,22,2019-06-22,1
Asclepias speciosa Torr.,39.803886,-105.098657,Asclepias speciosa Torr.,FR,NA,2019,6,22,2019-06-22,1
Asclepias speciosa Torr.,38.484493,-102.780165,Asclepias speciosa Torr.,FR,NA,2019,6,15,2019-06-15,1
Asclepias speciosa Torr.,40.526833,-111.919919,Asclepias speciosa Torr.,FR,NA,2019,6,28,2019-06-28,1
Asclepias speciosa Torr.,46.472277,-117.607062,Asclepias speciosa Torr.,FR,NA,2019,6,22,2019-06-22,1
Asclepias speciosa Torr.,39.803618,-105.09875,Asclepias speciosa Torr.,FR,NA,2019,6,22,2019-06-22,1
Asclepias speciosa Torr.,50.041098,-119.393139,Asclepias speciosa Torr.,FR,NA,2019,6,6,2019-06-06,1
Asclepias speciosa Torr.,53.550705,-113.477743,Asclepias speciosa Torr.,FR,NA,2019,6,29,2019-06-29,1
Asclepias speciosa Torr.,47.116526,-119.2602,Asclepias speciosa Torr.,FR,NA,2019,6,13,2019-06-13,1
Asclepias speciosa Torr.,44.580764,-89.589037,Asclepias speciosa Torr.,FR,NA,2019,6,28,2019-06-28,1
Asclepias speciosa Torr.,42.755278,-114.557778,Asclepias speciosa Torr.,FR,NA,2019,6,25,2019-06-25,1
Asclepias speciosa Torr.,39.774949,-105.026865,Asclepias speciosa Torr.,FR,NA,2019,6,22,2019-06-22,1
Asclepias speciosa Torr.,39.765556,-105.101944,Asclepias speciosa Torr.,FR,NA,2019,6,20,2019-06-20,1
Asclepias speciosa Torr.,38.737848,-104.769983,Asclepias speciosa Torr.,FR,NA,2019,6,25,2019-06-25,1
Asclepias speciosa Torr.,38.281625,-122.460666,Asclepias speciosa Torr.,FR,NA,2019,6,22,2019-06-22,1
Asclepias speciosa Torr.,47.800373,-117.590802,Asclepias speciosa Torr.,FR,NA,2019,6,26,2019-06-26,1
Asclepias speciosa Torr.,44.011849,-123.050178,Asclepias speciosa Torr.,FR,NA,2019,6,25,2019-06-25,1
Asclepias speciosa Torr.,38.282329,-122.460452,Asclepias speciosa Torr.,FR,NA,2019,6,22,2019-06-22,1
Asclepias speciosa Torr.,44.567312,-123.285687,Asclepias speciosa Torr.,FR,NA,2019,6,28,2019-06-28,1
Asclepias speciosa Torr.,39.659729,-104.752258,Asclepias speciosa Torr.,FR,NA,2019,6,30,2019-06-30,1
Asclepias speciosa Torr.,39.537783,-105.013489,Asclepias speciosa Torr.,FR,NA,2019,6,29,2019-06-29,1
Asclepias speciosa Torr.,44.009514,-123.034529,Asclepias speciosa Torr.,FR,NA,2019,6,25,2019-06-25,1
